Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Maruti Swift ZXI AMT,Swift ZXI AMT,Maruti,2018,PETROL,44996,Automatic,673000,Bangalore
Renault TRIBER RXT AMT,TRIBER RXT AMT,Renault,2022,PETROL,35860,Automatic,697000,Bangalore
Renault Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Renault,2019,PETROL,23998,Automatic,518000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2017,PETROL,37343,Manual,582000,Bangalore
Maruti Alto 800 LXI,Alto 800 LXI,Maruti,2019,PETROL,39868,Manual,334000,Bangalore
KIA SELTOS HTK PLUS 1.5,SELTOS HTK PLUS 1.5,KIA,2022,PETROL,28803,Manual,1230000,Bangalore
Tata ALTROZ XZ PETROL,ALTROZ XZ PETROL,Tata,2020,PETROL,40143,Manual,704000,Bangalore
Maruti Swift ZXI AMT,Swift ZXI AMT,Maruti,2018,PETROL,29716,Automatic,651000,Bangalore
Hyundai Santro Xing GL,Santro Xing GL,Hyundai,2010,PETROL,79984,Manual,182000,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2019,PETROL,32730,Manual,640000,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2017,PETROL,67757,Automatic,566000,Bangalore
Renault Duster RXZ 1.3 TURBO PETROL MT,Duster RXZ 1.3 TURBO PETROL MT,Renault,2020,PETROL,95849,Manual,744000,Bangalore
Mahindra Bolero B6 (O),Bolero B6 (O),Mahindra,2023,DIESEL,12465,Manual,1120000,Bangalore
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2020,PETROL,33889,Manual,697000,Bangalore
Mahindra Thar LX P 4WD AT CONVERTIBLE,Thar LX P 4WD AT CONVERTIBLE,Mahindra,2021,PETROL,54460,Automatic,1410000,Bangalore
Renault Kwid RXT 1.0 AMT,Kwid RXT 1.0 AMT,Renault,2017,PETROL,76813,Automatic,335000,Bangalore
Mahindra Thar LX P 4WD AT CONVERTIBLE,Thar LX P 4WD AT CONVERTIBLE,Mahindra,2021,PETROL,52188,Automatic,1430000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2014,PETROL,89872,Manual,450000,Bangalore
Maruti Celerio ZXI PLUS,Celerio ZXI PLUS,Maruti,2022,PETROL,28788,Manual,563000,Bangalore
Maruti Ciaz VXI+,Ciaz VXI+,Maruti,2015,PETROL,98152,Manual,508000,Bangalore
Tata Tiago XZ PLUS DUAL TONE PETROL,Tiago XZ PLUS DUAL TONE PETROL,Tata,2021,PETROL,35406,Manual,630000,Bangalore
Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,Hyundai,2021,PETROL,31259,Automatic,699000,Bangalore
Hyundai Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Hyundai,2014,PETROL,46423,Manual,583000,Bangalore
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2014,PETROL,44032,Automatic,408000,Bangalore
Hyundai Creta SX 1.6 DIESEL,Creta SX 1.6 DIESEL,Hyundai,2016,DIESEL,58014,Manual,858000,Bangalore
Renault Kwid RXL 1.0 AMT,Kwid RXL 1.0 AMT,Renault,2022,PETROL,36615,Automatic,421000,Bangalore
Maruti New Wagon-R ZXI 1.2 AMT,New Wagon-R ZXI 1.2 AMT,Maruti,2022,PETROL,27743,Automatic,635000,Bangalore
Mahindra XUV500 W7,XUV500 W7,Mahindra,2018,DIESEL,85256,Manual,1200000,Bangalore
Maruti Ciaz DELTA 1.4 MT PETROL,Ciaz DELTA 1.4 MT PETROL,Maruti,2017,PETROL,94757,Manual,508000,Bangalore
Maruti New Wagon-R VXI (O) 1.2,New Wagon-R VXI (O) 1.2,Maruti,2020,PETROL,66530,Manual,549000,Bangalore
Honda Jazz 1.2L I-VTEC SV,Jazz 1.2L I-VTEC SV,Honda,2015,PETROL,60512,Manual,446000,Bangalore
Maruti Ertiga VDI SHVS,Ertiga VDI SHVS,Maruti,2016,DIESEL,94438,Manual,799000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2012,PETROL,116738,Manual,390000,Bangalore
Maruti Alto 800 VXI,Alto 800 VXI,Maruti,2014,PETROL,57348,Manual,273000,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2013,PETROL,87459,Manual,336000,Bangalore
Tata NEXON XZ PLUS PETROL DUAL TONE,NEXON XZ PLUS PETROL DUAL TONE,Tata,2017,PETROL,17466,Manual,779000,Bangalore
Maruti Swift VDI,Swift VDI,Maruti,2013,DIESEL,93871,Manual,391000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2019,PETROL,59228,Manual,668000,Bangalore
Maruti Swift Dzire VDI,Swift Dzire VDI,Maruti,2014,DIESEL,89284,Manual,572000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,100708,Manual,374000,Bangalore
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2018,PETROL,77073,Manual,567000,Bangalore
Hyundai Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Hyundai,2018,PETROL,57288,Manual,907000,Bangalore
KIA SELTOS HTK PLUS 1.5 IMT,SELTOS HTK PLUS 1.5 IMT,KIA,2021,PETROL,43811,Manual,1110000,Bangalore
Honda Amaze 1.5L I-DTEC V,Amaze 1.5L I-DTEC V,Honda,2019,DIESEL,130578,Manual,661000,Bangalore
Hyundai VENUE SX 1.0 TURBO,VENUE SX 1.0 TURBO,Hyundai,2021,PETROL,25798,Manual,963000,Bangalore
Hyundai Santro Xing GL PLUS,Santro Xing GL PLUS,Hyundai,2011,PETROL,49805,Manual,254000,Bangalore
Maruti Swift Dzire VXI,Swift Dzire VXI,Maruti,2012,PETROL,23960,Manual,460000,Bangalore
Mahindra XUV500 W11(O),XUV500 W11(O),Mahindra,2021,DIESEL,28305,Manual,1790000,Bangalore
Mahindra XUV500 W10,XUV500 W10,Mahindra,2016,DIESEL,56575,Manual,1110000,Bangalore
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2014,PETROL,82706,Automatic,388000,Bangalore
Hyundai Verna FLUIDIC 1.6 CRDI SX,Verna FLUIDIC 1.6 CRDI SX,Hyundai,2012,DIESEL,123296,Manual,442000,Bangalore
Hyundai i20 SPORTZ 1.4 CRDI,i20 SPORTZ 1.4 CRDI,Hyundai,2012,DIESEL,84002,Manual,385000,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2017,PETROL,57560,Manual,626000,Bangalore
Tata Tiago XZA PETROL,Tiago XZA PETROL,Tata,2017,PETROL,94294,Automatic,439000,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,PETROL,28264,Automatic,1140000,Bangalore
Hyundai Verna FLUIDIC 4S1.6 VTVT S O AT,Verna FLUIDIC 4S1.6 VTVT S O AT,Hyundai,2015,PETROL,32301,Automatic,633000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ U2 1.2 CRDI,GRAND I10 NIOS SPORTZ U2 1.2 CRDI,Hyundai,2020,DIESEL,39250,Manual,709000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2018,PETROL,26638,Manual,609000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2011,PETROL,53178,Manual,245000,Bangalore
